Station ID,Station Zone,Lat,Lon
41004,edisto,32.5,-79.1
41008,grays reef,31.4,-80.87
41044,ne st martin,21.58,-58.63
41049,south bermuda,27.5,-62.27
42001,mid gulf,25.93,-89.66
42002,west gulf,25.95,-93.78
42020,"corpus christi, tx",26.97,-96.68
42036,west tampa,28.5,-84.5
42056,yucatan basin,19.82,-84.98
42058,central caribbean,14.51,-75.15
44007,portland,43.52,-70.14
44020,nantucket sound,41.5,-70.28
44065,new york harbor entrance,40.37,-73.7
46014,pt arena,39.23,-123.98
46025,santa monica basin,33.76,-119.05
46027,st georges,41.84,-124.38
46072,central aleutians 230 nm sw dutch harbor,51.65,-172.15
46078,albatross bank,55.56,-152.6
46084,cape edgecumbe,56.61,-136.04
46086,san clemente basin,32.5,-118.05
46087,neah bay,48.49,-124.73
46088,new dungeness,48.33,-123.18
51000,northern hawaii one,23.53,-153.79
51001,northwestern hawaii one,24.48,-162.03
51002,southwest hawaii,17.07,-157.75
